State,GT_value,log_OROV_cases
AC,100,2.756636108
AL,19,2.190331698
AM,38,3.560504415
AP,35,2.645422269
BA,32,3.046885191
CE,21,2.984077034
DF,19,0.602059991
ES,67,4.07773118
GO,11,1.414973348
MA,15,1.897627091
MG,17,3.31993844
MS,15,1
MT,16,1.832508913
PA,21,3.195622944
PB,21,2.825426118
PE,28,2.544068044
PI,26,1.897627091
PR,11,2.230448921
RJ,23,3.469674773
RN,19,1.342422681
RO,34,3.248953615
RR,42,2.743509765
RS,7,0.903089987
SC,17,2.298853076
SE,19,1.51851394
SP,10,2.245512668
TO,19,1.851258349